,Unnamed: 0,Date,Positive,Negative,Neutral,Compound,Closing_price,Opening_price,High_price,Low_price
30,30,2014-01-23,0.04,0.0,0.96,0.0386,[838.14997],[864.56116],[866.45964],[834.99822]
31,31,2014-01-24,0.46399999999999997,0.0,0.536,0.3818,[834.57416],[838.14997],[838.26],[810.64042]
32,32,2014-01-26,0.24600000000000002,0.094,0.66,0.6208,[887.08337],[858.12641],[899.2283],[851.74833]
33,33,2014-01-27,0.0,0.0,1.0,0.0,[830.53133],[887.08337],[887.37698],[800.03833]
34,34,2014-01-28,0.0,0.0,1.0,0.0,[832.89496],[830.53133],[860.24269],[798.18333]
35,35,2014-01-29,0.415,0.179,0.40700000000000003,0.4404,[832.87399],[832.89496],[846.92594],[832.25583]
36,36,2014-02-01,0.0,0.0,1.0,0.0,[854.7225],[847.36383],[869.4796],[843.35344]
37,37,2014-02-07,0.18025,0.275,0.5449999999999999,-0.09564999999999996,[692.66914],[748.43559],[758.33833],[658.83333]
38,38,2014-02-08,0.28600000000000003,0.0,0.7140000000000001,0.6369,[668.86463],[692.66914],[721.64138],[657.87721]
39,39,2014-02-09,0.0,0.289,0.711,-0.7845,[700.44843],[668.86463],[711.97109],[662.74428]
40,40,2014-02-12,0.0,0.0,1.0,0.0,[645.615],[665.7975],[671.9975],[633.395]
41,41,2014-02-16,0.17466666666666664,0.10866666666666663,0.7166666666666667,0.12193333333333335,[611.04499],[656.2725],[657.2725],[576.025]
42,42,2014-02-19,0.142,0.121,0.737,0.1027,[619.8425],[618.79],[625.4225],[612.5025]
43,43,2014-02-20,0.038,0.2745,0.6875,-0.73275,[545.7625],[619.8425],[620.84],[525.0725]
44,44,2014-02-23,0.11599999999999999,0.0,0.884,0.1779,[572.7675],[622.22],[637.5025],[567.5]
45,45,2014-02-25,0.121,0.0774,0.8018000000000001,0.06560000000000002,[550.6025],[501.155],[562.54499],[418.755]
46,46,2014-02-26,0.0515,0.14400000000000002,0.8045,-0.214825,[573.1025],[550.6025],[599.505],[548.98749]
47,47,2014-02-27,0.17,0.302,0.528,-0.4151,[567.2925],[573.1025],[583.7825],[558.2225]
48,48,2014-02-28,0.05875,0.17825,0.7630000000000001,-0.20595,[551.73],[567.2925],[570.7875],[535.87]
49,49,2014-03-01,0.135,0.0,0.865,0.3612,[560.195],[551.73],[570.0025],[548.7825]
50,50,2014-03-03,0.1295,0.1075,0.763,0.0060000000000000045,[666.1475],[567.7],[681.615],[562.3025]
51,51,2014-03-04,0.0805,0.1075,0.812,-0.13185,[660.84],[666.1475],[698.05],[653.525]
52,52,2014-03-05,0.0,0.14200000000000002,0.858,-0.3173,[662.0225],[660.84],[666.3275],[643.525]
53,53,2014-03-06,0.08425,0.16325,0.7525000000000001,-0.129975,[651.285],[662.0225],[663.74],[644.345]
54,54,2014-03-07,0.11800000000000002,0.0944,0.7876,0.06577999999999999,[612.33],[651.285],[653.98249],[611.02]
55,55,2014-03-08,0.0,0.406,0.594,-0.8481,[611.1625],[612.33],[626.25],[600.99249]
56,56,2014-03-09,0.175,0.0,0.825,0.35595,[637.615],[611.1625],[644.8825],[610.0675]
57,57,2014-03-12,0.0,0.061,0.9390000000000001,-0.128,[631.755],[633.74749],[639.5375],[627.3925]
58,58,2014-03-13,0.0,0.0,1.0,0.0,[636.41414],[631.755],[641.66999],[631.315]
59,59,2014-03-14,0.0725,0.147,0.7805,-0.007000000000000006,[628.18751],[636.41414],[636.75668],[624.77166]
60,60,2014-03-17,0.0,0.099,0.9009999999999999,-0.29600000000000004,[617.24333],[630.34833],[630.77666],[616.17333]
61,61,2014-03-20,0.10300000000000001,0.0,0.897,0.3182,[581.33333],[601.015],[604.52831],[579.55331]
62,62,2014-03-21,0.121,0.08800000000000001,0.7909999999999999,0.1779,[570.36168],[581.33333],[605.15331],[563.46166]
63,63,2014-03-23,0.0,0.0,1.0,0.0,[557.16833],[562.95333],[570.33081],[551.16331]
64,64,2014-03-24,0.0,0.0,1.0,0.0,[573.34998],[557.16833],[587.98666],[552.12997]
65,65,2014-03-25,0.0,0.0,1.0,0.0,[572.49161],[573.34998],[585.57499],[570.43831]
66,66,2014-03-26,0.0,0.0,1.0,0.0,[570.54833],[572.49161],[589.95497],[561.61165]
67,67,2014-03-27,0.0,0.0,1.0,0.0,[509.70665],[570.54833],[571.57667],[471.01833]
68,68,2014-03-31,0.0665,0.0,0.9335,0.1591,[464.88],[472.4783],[472.4783],[442.19166]
69,69,2014-04-02,0.1585,0.0,0.8415,0.33525,[427.87498],[480.16581],[494.98333],[419.705]
70,70,2014-04-03,0.0,0.0,1.0,0.0,[432.99716],[427.87498],[456.34863],[414.41333]
71,71,2014-04-04,0.0,0.0,1.0,0.0,[453.87148],[432.99716],[455.99333],[428.63]
72,72,2014-04-06,0.0,0.0,1.0,0.0,[456.46948],[462.445],[466.475],[450.80566]
73,73,2014-04-08,0.17,0.205,0.625,0.0516,[450.48083],[452.81],[456.88188],[446.71668]
74,74,2014-04-10,0.163,0.0,0.8370000000000001,0.2202,[374.59166],[426.98333],[427.5385],[344.22166]
75,75,2014-04-22,0.0,0.0,1.0,0.0,[487.84],[497.65001],[498.59166],[482.73666]
76,76,2014-04-23,0.2715,0.0,0.7285,0.5328999999999999,[487.11333],[487.84],[489.32333],[480.58666]
77,77,2014-04-27,0.2115,0.0,0.7885,0.4841,[426.78166],[452.14829],[457.45584],[423.40166]
