Date,Actual,Predicted
5/5/2020,8978.283587,8924.906193
5/6/2020,9371.684273,8930.627
5/7/2020,9900.678867,9316.75
5/8/2020,9917.248414,9378.255
5/9/2020,9617.518195,8948.799
5/10/2020,8786.655182,8821.713
5/11/2020,9999.222,9898.222
